age,income,education,gender,race,years_experience,credit_score,loan_approved
35,85000,PG,Male,White,10,720,1
28,42000,UG,Female,Black,3,650,0
45,120000,PG,Male,White,18,780,1
32,38000,UG,Female,Hispanic,5,620,0
50,95000,PG,Male,White,22,760,1
26,31000,UG,Female,Black,2,590,0
41,72000,PG,Male,White,14,710,1
29,35000,UG,Female,Hispanic,4,630,0
38,88000,PG,Male,White,12,740,1
33,45000,UG,Female,Black,6,660,0
55,110000,PG,Male,White,25,800,1
24,28000,UG,Female,Hispanic,1,570,0
42,92000,PG,Male,White,16,755,1
31,40000,UG,Female,Black,4,640,0
48,105000,PG,Male,White,20,775,1
27,33000,UG,Female,Hispanic,3,610,0
36,78000,PG,Male,White,11,725,1
30,37000,UG,Female,Black,5,645,0
44,98000,PG,Male,White,17,762,1
25,29000,UG,Female,Hispanic,2,580,0
39,82000,PG,Male,White,13,733,1
34,43000,UG,Female,Black,7,655,0
52,115000,PG,Male,White,23,790,1
22,26000,UG,Female,Hispanic,1,560,0
46,100000,PG,Male,White,19,770,1
28,36000,UG,Female,Black,3,635,0
43,90000,PG,Male,White,15,748,1
26,32000,UG,Female,Hispanic,2,600,0
37,80000,PG,Male,White,12,728,1
31,41000,UG,Female,Black,5,648,0
